"hit","align.length","mismatch","indel","unalign.length","total.miss"
"32_90",65,0,0,0,"0"
"40_61",65,2,0,0,"2"
"39_59",65,0,0,0,"0"
"34_36",62,6,0,3,"9"
"40_47",65,0,0,0,"0"
"89_19",65,0,0,0,"0"
"7_5",65,0,0,0,"0"
"16_11",65,2,0,0,"2"
"79_45",63,4,0,2,"6"
"23_48",65,0,0,0,"0"
"77_34",65,0,0,0,"0"
"35_38",65,1,0,0,"1"
"79_44",65,1,0,0,"1"
"77_34",65,0,0,0,"0"
"16_79",65,0,0,0,"0"
"46_47",65,0,0,0,"0"
"1_16",65,0,0,0,"0"
"32_42",65,2,0,0,"2"
"6_47",65,0,1,0,"1"
"47_63",65,1,0,0,"1"
"44_14",65,0,0,0,"0"
"65_77",65,0,0,0,"0"
"41_47",65,0,0,0,"0"
"31_32",63,6,0,2,"8"
"84_90",65,0,0,0,"0"
"59_79",65,0,0,0,"0"
"86_47",65,0,0,0,"0"
"2_38",65,1,0,0,"1"
"79_66",65,0,0,0,"0"
"45_40",65,0,0,0,"0"
"31_65",65,0,0,0,"0"
"46_32",65,1,0,0,"1"
"2_3",65,3,0,0,"3"
"65_44",65,1,0,0,"1"
"82_18",65,0,0,0,"0"
"40_54",65,1,0,0,"1"
"89_49",65,3,0,0,"3"
"64_20",64,6,0,1,"7"
"7_66",65,4,0,0,"4"
"79_22",65,0,0,0,"0"
"79_83",65,0,0,0,"0"
"38_58",65,0,0,0,"0"
"1_17",65,1,0,0,"1"
"45_17",65,0,0,0,"0"
"22_41",65,0,0,0,"0"
"65_48",65,2,0,0,"2"
"79_42",65,5,1,0,"6"
"69_39",65,2,1,0,"3"
"91_26",65,1,0,0,"1"
"32_78",65,2,0,0,"2"
"67_49",64,4,0,1,"5"
"44_65",65,0,0,0,"0"
"52_39",65,0,0,0,"0"
"5_75",65,0,0,0,"0"
"16_1",65,0,0,0,"0"
"39_23",65,0,0,0,"0"
"51_45",65,4,0,0,"4"
"67_77",65,0,0,0,"0"
"33_87",65,0,0,0,"0"
"42_59",65,1,0,0,"1"
"44_52",65,0,1,0,"1"
"23_1",64,2,0,1,"3"
"34_22",65,1,0,0,"1"
"59_58",64,8,0,1,"9"
"34_35",61,12,0,4,">=10"
"43_47",65,0,0,0,"0"
"20_84",65,2,0,0,"2"
"65_25",65,1,0,0,"1"
"50_90",65,0,0,0,"0"
"4_1",65,2,0,0,"2"
"36_40",65,1,0,0,"1"
"40_35",65,2,0,0,"2"
"57_40",65,0,0,0,"0"
"45_58",65,0,0,0,"0"
"14_64",65,0,1,0,"1"
"49_78",63,7,0,2,"9"
"62_40",65,4,0,0,"4"
"43_38",65,2,0,0,"2"
"67_45",66,0,1,0,"1"
"43_76",65,1,0,0,"1"
"52_43",62,9,0,3,">=10"
"59_40",65,1,0,0,"1"
"90_44",65,1,0,0,"1"
"33_42",65,0,0,0,"0"
"54_77",65,2,0,0,"2"
"37_44",65,1,0,0,"1"
"67_62",62,5,0,3,"8"
"90_32",63,6,0,2,"8"
"63_39",65,1,1,0,"2"
"39_37",65,1,0,0,"1"
"37_45",65,0,0,0,"0"
"78_16",65,0,0,0,"0"
"59_20",65,7,0,0,"7"
"1_14",65,1,0,0,"1"
"32_78",65,11,0,0,">=10"
"16_47",65,0,0,0,"0"
"91_25",65,0,0,0,"0"
"40_43",65,6,0,0,"6"
"62_58",65,1,0,0,"1"
"2_21",64,13,0,1,">=10"
"50_12",65,1,0,0,"1"
"49_89",65,0,0,0,"0"
"52_12",65,0,0,0,"0"
"60_77",65,0,0,0,"0"
"24_63",65,1,0,0,"1"
"49_6",65,0,0,0,"0"
"4_67",65,3,0,0,"3"
"24_17",65,0,0,0,"0"
"35_82",65,1,0,0,"1"
"63_32",65,2,0,0,"2"
"57_39",65,0,2,0,"2"
"52_57",65,0,0,0,"0"
"38_61",65,0,0,0,"0"
"41_45",65,3,0,0,"3"
"40_44",65,2,0,0,"2"
"21_16",65,0,0,0,"0"
"41_78",63,2,0,2,"4"
"42_78",65,1,0,0,"1"
"64_42",65,3,0,0,"3"
"22_24",65,1,0,0,"1"
"45_1",65,2,0,0,"2"
"79_66",65,7,0,0,"7"
"20_59",65,0,0,0,"0"
"53_17",65,1,0,0,"1"
"54_79",65,1,0,0,"1"
"29_37",65,0,1,0,"1"
"39_44",65,0,0,0,"0"
"78_81",65,1,0,0,"1"
"79_42",65,0,0,0,"0"
"77_3",63,1,0,2,"3"
"75_3",65,0,0,0,"0"
"65_33",65,1,0,0,"1"
"38_42",65,5,0,0,"5"
"25_43",65,1,0,0,"1"
"22_78",65,0,2,0,"2"
"65_43",65,1,0,0,"1"
"40_4",65,0,0,0,"0"
"44_82",65,0,0,0,"0"
"24_24",65,0,0,0,"0"
"77_1",65,9,0,0,"9"
"88_47",65,0,0,0,"0"
"77_65",65,2,0,0,"2"
"50_44",65,5,0,0,"5"
"77_44",65,3,0,0,"3"
"90_69",65,4,1,0,"5"
"79_58",65,0,0,0,"0"
"60_55",65,0,0,0,"0"
"91_38",65,0,0,0,"0"
"54_67",65,0,0,0,"0"
"44_36",65,0,0,0,"0"
"36_79",63,5,0,2,"7"
"79_38",65,0,0,0,"0"
"60_32",65,0,0,0,"0"
"91_67",65,1,0,0,"1"
"78_58",65,0,0,0,"0"
"77_44",65,1,0,0,"1"
"78_40",65,0,0,0,"0"
"41_79",65,8,0,0,"8"
"53_63",64,2,0,1,"3"
"37_79",65,1,0,0,"1"
"52_40",65,1,0,0,"1"
"65_42",65,1,0,0,"1"
"31_63",65,3,0,0,"3"
"34_32",63,6,0,2,"8"
"65_21",65,0,0,0,"0"
"40_62",63,3,0,2,"5"
"33_16",65,0,0,0,"0"
"42_56",65,0,0,0,"0"
"23_37",65,1,0,0,"1"
"77_29",65,0,1,0,"1"
"65_60",65,4,0,0,"4"
"43_81",65,1,0,0,"1"
"43_57",65,1,0,0,"1"
"57_88",65,0,0,0,"0"
"65_24",65,1,0,0,"1"
"91_37",65,0,0,0,"0"
"62_67",65,2,0,0,"2"
"43_61",65,1,0,0,"1"
"16_84",65,0,0,0,"0"
"63_39",65,0,0,0,"0"
"64_77",65,0,0,0,"0"
"43_66",65,0,0,0,"0"
"40_17",65,0,0,0,"0"
"1_52",65,3,0,0,"3"
"46_63",65,0,0,0,"0"
"33_79",64,1,0,1,"2"
"23_41",65,0,0,0,"0"
"52_21",65,0,0,0,"0"
"77_39",63,7,0,2,"9"
"37_3",65,1,0,0,"1"
"4_1",65,0,0,0,"0"
"20_32",65,0,0,0,"0"
"48_79",65,0,0,0,"0"
"59_63",65,0,0,0,"0"
"7_67",65,0,0,0,"0"
"24_39",65,0,0,0,"0"
"81_73",65,1,1,0,"2"
"6_66",65,2,0,0,"2"
"17_79",65,0,0,0,"0"
"43_33",65,7,0,0,"7"
"88_23",65,0,0,0,"0"
