"hit","align.length","mismatch","indel","unalign.length","total.miss"
"4_50",65,2,0,0,2
"35_41",65,0,1,0,1
"53_76",65,0,0,0,0
"34_15",65,1,0,0,1
"88_3",65,2,0,0,2
"49_91",65,0,0,0,0
"45_63",65,0,0,0,0
"40_80",65,0,0,0,0
"4_88",65,0,0,0,0
"39_82",65,1,1,0,2
"23_32",66,0,1,0,1
"1_50",65,2,0,0,2
"77_40",65,0,0,0,0
"38_16",65,2,0,0,2
"38_50",65,2,0,0,2
"40_58",65,0,0,0,0
"77_44",65,1,0,0,1
"65_44",65,2,0,0,2
"64_88",65,0,0,0,0
"16_47",65,0,0,0,0
"1_31",65,0,0,0,0
"32_63",65,0,0,0,0
"42_44",65,1,0,0,1
"59_40",65,1,0,0,1
"80_81",65,1,0,0,1
"72_31",65,0,0,0,0
"79_3",65,0,0,0,0
"79_44",65,1,0,0,1
"86_49",65,1,0,0,1
"34_3",65,0,0,0,0
"40_65",65,0,0,0,0
"89_24",65,0,0,0,0
"54_22",65,1,0,0,1
"82_66",65,2,0,0,2
"49_40",65,1,0,0,1
"36_63",65,2,0,0,2
"79_59",65,0,0,0,0
"45_40",65,0,0,0,0
"77_79",65,0,0,0,0
"85_78",65,0,0,0,0
"60_39",65,0,0,0,0
"55_52",65,1,0,0,1
"44_58",65,0,0,0,0
"35_41",65,0,0,0,0
"39_60",65,1,0,0,1
"63_63",65,0,0,0,0
"52_71",65,1,0,0,1
"42_88",65,1,0,0,1
"50_39",65,0,0,0,0
"4_1",65,0,0,0,0
"46_31",65,1,0,0,1
"64_55",65,1,0,0,1
"78_32",65,0,0,0,0
"53_23",65,0,0,0,0
"21_59",65,2,0,0,2
"32_61",65,1,0,0,1
"39_42",65,0,0,0,0
"41_76",63,0,0,2,2
"17_1",65,2,0,0,2
"83_43",65,1,0,0,1
"41_31",65,2,0,0,2
"21_90",65,0,0,0,0
"34_6",65,0,0,0,0
"41_32",65,0,0,0,0
"64_32",65,0,0,0,0
"20_37",65,0,0,0,0
"82_33",65,0,0,0,0
"31_16",65,0,1,0,1
"38_23",65,0,0,0,0
"41_4",65,1,0,0,1
"40_47",65,0,0,0,0
"64_43",65,1,0,0,1
"79_81",65,0,0,0,0
"16_4",65,1,0,0,1
"31_4",65,2,0,0,2
"43_35",65,0,0,0,0
"32_34",65,0,0,0,0
"33_45",65,2,0,0,2
"47_63",65,0,1,0,1
"79_41",65,1,0,0,1
"53_62",65,0,0,0,0
"59_43",65,0,0,0,0
"9_9",65,0,0,0,0
"79_43",65,0,0,0,0
"50_53",65,0,0,0,0
"82_14",65,0,1,0,1
"24_91",65,0,0,0,0
"24_52",65,2,0,0,2
"16_65",65,0,0,0,0
"16_42",65,2,0,0,2
"20_76",65,0,0,0,0
"41_56",65,0,1,0,1
"23_78",65,2,0,0,2
"43_3",65,1,0,0,1
"21_59",65,0,0,0,0
"40_32",65,0,0,0,0
"22_60",65,0,0,0,0
"77_34",65,0,0,0,0
"20_23",65,1,0,0,1
"24_40",65,0,0,0,0
"40_91",65,0,0,0,0
"62_40",65,0,0,0,0
"1_66",65,1,0,0,1
"79_41",65,0,0,0,0
"24_17",65,1,0,0,1
"64_41",65,1,0,0,1
"34_41",65,0,0,0,0
"36_40",65,0,0,0,0
"32_40",65,0,0,0,0
"59_44",65,0,0,0,0
"24_89",65,0,0,0,0
"37_34",65,0,0,0,0
"41_61",65,1,0,0,1
"47_43",65,0,0,0,0
"40_54",65,1,0,0,1
"16_40",65,0,0,0,0
"49_32",65,0,0,0,0
"65_41",65,0,0,0,0
"8_80",65,0,0,0,0
"40_35",63,0,0,2,2
"46_43",65,1,0,0,1
"78_58",65,1,0,0,1
"52_43",65,0,0,0,0
"90_41",65,0,0,0,0
"43_40",65,1,0,0,1
"79_41",65,1,0,0,1
"6_59",65,1,0,0,1
"91_67",65,0,0,0,0
"20_32",65,2,0,0,2
"83_78",65,0,0,0,0
"63_62",65,1,0,0,1
"43_18",65,0,0,0,0
"64_43",65,1,0,0,1
"31_50",65,0,0,0,0
"57_47",65,0,0,0,0
"63_79",65,0,1,0,1
"1_78",65,0,0,0,0
"83_78",65,0,0,0,0
"84_40",65,0,1,0,1
"48_42",65,0,0,0,0
"23_42",65,0,0,0,0
"83_16",65,0,0,0,0
"30_64",65,0,0,0,0
"39_16",65,1,0,0,1
"55_91",65,0,0,0,0
"42_76",65,0,0,0,0
"6_37",65,0,0,0,0
"63_59",65,0,0,0,0
"17_67",65,0,0,0,0
"77_43",65,0,0,0,0
"59_78",65,1,0,0,1
"40_40",65,1,0,0,1
"78_58",65,0,0,0,0
"77_37",65,0,0,0,0
"40_57",65,0,0,0,0
"17_41",65,0,1,0,1
"45_45",65,0,0,0,0
"24_24",65,2,0,0,2
"91_26",65,2,0,0,2
"56_45",65,0,0,0,0
"34_77",65,0,0,0,0
"4_1",65,1,0,0,1
"84_77",65,2,0,0,2
"61_20",65,0,0,0,0
"43_74",65,0,1,0,1
"59_36",65,2,0,0,2
"77_58",65,0,0,0,0
"43_38",65,0,0,0,0
"49_55",65,0,0,0,0
"49_42",65,0,0,0,0
"67_64",65,0,0,0,0
"67_77",65,0,0,0,0
"33_43",65,0,1,0,1
"40_42",65,1,0,0,1
"72_80",65,1,0,0,1
"53_50",65,0,0,0,0
"77_41",65,1,1,0,2
"40_44",65,0,0,0,0
"79_24",65,0,0,0,0
"44_67",65,0,0,0,0
"78_44",65,0,0,0,0
"44_39",65,1,0,0,1
"48_33",65,0,0,0,0
"23_50",65,0,0,0,0
"1_59",63,0,0,2,2
"53_88",65,0,0,0,0
"49_43",65,0,0,0,0
"24_10",65,0,0,0,0
"63_68",65,0,1,0,1
"48_6",65,0,0,0,0
"33_7",65,0,0,0,0
"49_40",65,0,0,0,0
"24_16",65,0,0,0,0
"89_79",65,0,0,0,0
"41_47",65,0,0,0,0
"50_75",65,1,0,0,1
"37_24",65,0,0,0,0
"40_80",65,1,0,0,1
"56_23",65,0,0,0,0
"91_3",65,0,0,0,0
"83_42",65,0,0,0,0
"50_88",65,0,0,0,0
"60_36",65,1,0,0,1
"79_42",65,0,0,0,0
"53_80",65,0,0,0,0
"78_40",65,0,0,0,0
"45_42",65,0,0,0,0
"56_45",65,1,0,0,1
"60_44",65,0,0,0,0
"4_17",65,0,0,0,0
"65_20",65,2,0,0,2
"52_79",65,0,0,0,0
"20_17",65,0,1,0,1
"4_48",65,1,0,0,1
"78_79",65,0,0,0,0
"21_3",65,0,0,0,0
"23_40",65,0,0,0,0
"53_43",65,0,0,0,0
"40_82",65,0,0,0,0
"34_39",65,1,0,0,1
"79_66",65,0,0,0,0
"32_90",65,0,0,0,0
"40_61",65,2,0,0,2
"39_59",65,0,0,0,0
"40_47",65,0,0,0,0
"89_19",65,0,0,0,0
"7_5",65,0,0,0,0
"16_11",65,2,0,0,2
"23_48",65,0,0,0,0
"77_34",65,0,0,0,0
"35_38",65,1,0,0,1
"79_44",65,1,0,0,1
"77_34",65,0,0,0,0
"16_79",65,0,0,0,0
"46_47",65,0,0,0,0
"1_16",65,0,0,0,0
"32_42",65,2,0,0,2
"6_47",65,0,1,0,1
"47_63",65,1,0,0,1
"44_14",65,0,0,0,0
"65_77",65,0,0,0,0
"41_47",65,0,0,0,0
"84_90",65,0,0,0,0
"59_79",65,0,0,0,0
"86_47",65,0,0,0,0
"2_38",65,1,0,0,1
"79_66",65,0,0,0,0
"45_40",65,0,0,0,0
"31_65",65,0,0,0,0
"46_32",65,1,0,0,1
"65_44",65,1,0,0,1
"82_18",65,0,0,0,0
"40_54",65,1,0,0,1
"79_22",65,0,0,0,0
"79_83",65,0,0,0,0
"38_58",65,0,0,0,0
"1_17",65,1,0,0,1
"45_17",65,0,0,0,0
"22_41",65,0,0,0,0
"65_48",65,2,0,0,2
"91_26",65,1,0,0,1
"32_78",65,2,0,0,2
"44_65",65,0,0,0,0
"52_39",65,0,0,0,0
"5_75",65,0,0,0,0
"16_1",65,0,0,0,0
"39_23",65,0,0,0,0
"67_77",65,0,0,0,0
"33_87",65,0,0,0,0
"42_59",65,1,0,0,1
"44_52",65,0,1,0,1
"34_22",65,1,0,0,1
"43_47",65,0,0,0,0
"20_84",65,2,0,0,2
"65_25",65,1,0,0,1
"50_90",65,0,0,0,0
"4_1",65,2,0,0,2
"36_40",65,1,0,0,1
"40_35",65,2,0,0,2
"57_40",65,0,0,0,0
"45_58",65,0,0,0,0
"14_64",65,0,1,0,1
"43_38",65,2,0,0,2
"67_45",66,0,1,0,1
"43_76",65,1,0,0,1
"59_40",65,1,0,0,1
"90_44",65,1,0,0,1
"33_42",65,0,0,0,0
"54_77",65,2,0,0,2
"37_44",65,1,0,0,1
"63_39",65,1,1,0,2
"39_37",65,1,0,0,1
"37_45",65,0,0,0,0
"78_16",65,0,0,0,0
"1_14",65,1,0,0,1
"16_47",65,0,0,0,0
"91_25",65,0,0,0,0
"62_58",65,1,0,0,1
"50_12",65,1,0,0,1
"49_89",65,0,0,0,0
"52_12",65,0,0,0,0
"60_77",65,0,0,0,0
"24_63",65,1,0,0,1
"49_6",65,0,0,0,0
"24_17",65,0,0,0,0
"35_82",65,1,0,0,1
