"hit","align.length","mismatch","indel","unalign.length","total.miss"
"51_18",65,0,0,0,0
"45_91",65,0,0,0,0
"60_62",65,0,0,0,0
"63_56",65,1,0,0,1
"91_52",65,0,0,0,0
"91_40",65,1,0,0,1
"52_5",65,1,0,0,1
"54_74",65,0,0,0,0
"67_50",65,1,0,0,1
"8_18",65,0,0,0,0
"56_85",65,1,0,0,1
"6_77",65,0,0,0,0
"79_55",65,1,0,0,1
"17_44",65,0,0,0,0
"16_37",65,1,0,0,1
"54_86",65,1,0,0,1
"7_29",65,0,0,0,0
"74_4",65,1,0,0,1
"50_50",65,0,0,0,0
"77_76",65,0,0,0,0
"88_51",65,0,0,0,0
"46_91",65,1,0,0,1
"24_21",65,0,0,0,0
"48_30",63,0,0,2,2
"68_25",65,1,0,0,1
"26_69",65,0,0,0,0
"24_3",65,0,0,0,0
"45_53",65,0,0,0,0
"19_9",65,1,0,0,1
"65_57",65,0,0,0,0
"89_87",65,0,0,0,0
"28_80",65,0,0,0,0
"37_85",65,0,0,0,0
"34_14",65,0,0,0,0
"10_83",65,0,0,0,0
"8_78",65,0,0,0,0
"34_10",65,0,0,0,0
"77_90",65,0,0,0,0
"89_16",65,0,0,0,0
"50_86",65,0,0,0,0
"90_70",65,0,0,0,0
"73_21",65,0,0,0,0
"40_10",65,1,0,0,1
"70_86",65,0,0,0,0
"4_91",65,0,0,0,0
"52_47",65,0,0,0,0
"78_11",65,1,0,0,1
"45_66",65,0,0,0,0
"66_50",65,0,0,0,0
"79_35",65,0,0,0,0
"22_24",65,0,0,0,0
"62_69",65,0,0,0,0
"38_37",65,0,0,0,0
"77_29",65,0,0,0,0
"10_63",65,0,0,0,0
"17_43",65,0,0,0,0
"30_47",65,1,0,0,1
"87_23",65,1,0,0,1
"59_44",65,0,0,0,0
"39_23",65,2,0,0,2
"17_34",65,0,0,0,0
"36_90",65,0,0,0,0
"1_36",65,0,0,0,0
"27_14",65,0,0,0,0
"63_78",65,1,0,0,1
"90_47",65,0,0,0,0
"53_50",65,1,0,0,1
"22_33",65,0,0,0,0
"83_49",65,0,0,0,0
"65_69",65,0,0,0,0
"90_36",63,0,0,2,2
"70_12",65,0,0,0,0
"17_29",65,0,0,0,0
"67_59",65,1,0,0,1
"18_90",65,0,0,0,0
"67_34",65,0,0,0,0
"60_69",65,2,0,0,2
"59_14",65,0,0,0,0
"41_58",65,0,0,0,0
"9_70",65,2,0,0,2
"50_17",65,0,0,0,0
"50_24",65,1,0,0,1
"81_42",65,0,1,0,1
"60_91",66,0,1,0,1
"17_88",65,0,0,0,0
"45_50",65,0,0,0,0
"18_71",65,1,0,0,1
"40_80",65,0,0,0,0
"77_60",65,1,0,0,1
"55_48",65,1,0,0,1
"10_33",65,0,1,0,1
"54_51",65,0,0,0,0
"28_37",65,0,0,0,0
"54_17",65,0,0,0,0
"73_77",65,0,0,0,0
"10_26",65,0,0,0,0
"63_72",65,0,0,0,0
"62_88",65,0,0,0,0
"30_54",65,0,0,0,0
"65_64",65,2,0,0,2
"51_17",65,2,0,0,2
